datetime,kWh,date,weekday,workday,hour,week,continuous_hour
2016-01-04 20:15:00,3.99,2016-01-04,0,True,20,1,20
2016-01-04 20:30:00,3.81,2016-01-04,0,True,20,1,20
2016-01-04 20:45:00,3.57,2016-01-04,0,True,20,1,20
2016-01-04 21:00:00,3.57,2016-01-04,0,True,21,1,21
2016-01-04 21:15:00,3.57,2016-01-04,0,True,21,1,21
2016-01-04 21:30:00,3.6,2016-01-04,0,True,21,1,21
2016-01-04 21:45:00,3.54,2016-01-04,0,True,21,1,21
2016-01-04 22:00:00,3.63,2016-01-04,0,True,22,1,22
2016-01-04 22:15:00,3.51,2016-01-04,0,True,22,1,22
2016-01-04 22:30:00,3.57,2016-01-04,0,True,22,1,22
2016-01-04 22:45:00,3.54,2016-01-04,0,True,22,1,22
2016-01-04 23:00:00,3.6,2016-01-04,0,True,23,1,23
2016-01-04 23:15:00,3.48,2016-01-04,0,True,23,1,23
2016-01-04 23:30:00,3.57,2016-01-04,0,True,23,1,23
2016-01-04 23:45:00,3.54,2016-01-04,0,True,23,1,23
2016-01-05 00:00:00,3.54,2016-01-05,1,True,0,1,24
2016-01-05 00:15:00,3.51,2016-01-05,1,True,0,1,24
2016-01-05 00:30:00,3.48,2016-01-05,1,True,0,1,24
2016-01-05 00:45:00,2.91,2016-01-05,1,True,0,1,24
2016-01-05 01:00:00,2.76,2016-01-05,1,True,1,1,25
2016-01-05 01:15:00,2.76,2016-01-05,1,True,1,1,25
2016-01-05 01:30:00,2.64,2016-01-05,1,True,1,1,25
2016-01-05 01:45:00,2.7,2016-01-05,1,True,1,1,25
2016-01-05 02:00:00,2.67,2016-01-05,1,True,2,1,26
2016-01-05 02:15:00,2.7,2016-01-05,1,True,2,1,26
2016-01-05 02:30:00,2.64,2016-01-05,1,True,2,1,26
2016-01-05 02:45:00,2.7,2016-01-05,1,True,2,1,26
2016-01-05 03:00:00,2.67,2016-01-05,1,True,3,1,27
2016-01-05 03:15:00,2.64,2016-01-05,1,True,3,1,27
2016-01-05 03:30:00,2.7,2016-01-05,1,True,3,1,27
2016-01-05 03:45:00,2.64,2016-01-05,1,True,3,1,27
2016-01-05 04:00:00,2.7,2016-01-05,1,True,4,1,28
2016-01-05 04:15:00,2.67,2016-01-05,1,True,4,1,28
2016-01-05 04:30:00,2.67,2016-01-05,1,True,4,1,28
2016-01-05 04:45:00,2.64,2016-01-05,1,True,4,1,28
2016-01-05 05:00:00,2.67,2016-01-05,1,True,5,1,29
2016-01-05 05:15:00,2.64,2016-01-05,1,True,5,1,29
2016-01-05 05:30:00,2.73,2016-01-05,1,True,5,1,29
2016-01-05 05:45:00,2.67,2016-01-05,1,True,5,1,29
2016-01-05 06:00:00,2.73,2016-01-05,1,True,6,1,30
2016-01-05 06:15:00,2.7,2016-01-05,1,True,6,1,30
2016-01-05 06:30:00,3.36,2016-01-05,1,True,6,1,30
2016-01-05 06:45:00,4.2,2016-01-05,1,True,6,1,30
2016-01-05 07:00:00,4.23,2016-01-05,1,True,7,1,31
2016-01-05 07:15:00,4.71,2016-01-05,1,True,7,1,31
2016-01-05 07:30:00,4.95,2016-01-05,1,True,7,1,31
2016-01-05 07:45:00,5.22,2016-01-05,1,True,7,1,31
2016-01-05 08:00:00,6.45,2016-01-05,1,True,8,1,32
2016-01-05 08:15:00,6.63,2016-01-05,1,True,8,1,32
2016-01-05 08:30:00,7.5,2016-01-05,1,True,8,1,32
2016-01-05 08:45:00,7.59,2016-01-05,1,True,8,1,32
2016-01-05 09:00:00,8.04,2016-01-05,1,True,9,1,33
2016-01-05 09:15:00,8.4,2016-01-05,1,True,9,1,33
2016-01-05 09:30:00,8.04,2016-01-05,1,True,9,1,33
2016-01-05 09:45:00,7.68,2016-01-05,1,True,9,1,33
2016-01-05 10:00:00,7.86,2016-01-05,1,True,10,1,34
2016-01-05 10:15:00,8.1,2016-01-05,1,True,10,1,34
2016-01-05 10:30:00,7.41,2016-01-05,1,True,10,1,34
2016-01-05 10:45:00,7.47,2016-01-05,1,True,10,1,34
2016-01-05 11:00:00,7.71,2016-01-05,1,True,11,1,35
2016-01-05 11:15:00,7.92,2016-01-05,1,True,11,1,35
2016-01-05 11:30:00,7.68,2016-01-05,1,True,11,1,35
2016-01-05 11:45:00,7.5,2016-01-05,1,True,11,1,35
2016-01-05 12:00:00,7.23,2016-01-05,1,True,12,1,36
2016-01-05 12:15:00,7.11,2016-01-05,1,True,12,1,36
2016-01-05 12:30:00,7.17,2016-01-05,1,True,12,1,36
2016-01-05 12:45:00,6.66,2016-01-05,1,True,12,1,36
2016-01-05 13:00:00,6.54,2016-01-05,1,True,13,1,37
2016-01-05 13:15:00,6.81,2016-01-05,1,True,13,1,37
